stock,experiment_name,sample_count_true,sample_count_pred,unique_true_tokens,unique_pred_tokens,token_support_overlap,token_support_jaccard,l1_by_group,js_divergence_bits,wasserstein_zscore,true_counts_csv,predicted_counts_csv,true_samples_csv,predicted_samples_csv,summary_json
000617_XSHE,blankGPT2_multiday_continue_617_stock_win50,296677,296677,15036,12692,11412,0.6994361363079186,0.2262325694273337,0.08057087189470302,0.06434219780442933,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/000617XSHE/blankGPT2_multiday_continue_617_stock_win50_true_counts.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/000617XSHE/blankGPT2_multiday_continue_617_stock_win50_predicted_counts.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/000617XSHE/blankGPT2_multiday_continue_617_stock_win50_true_samples.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/000617XSHE/blankGPT2_multiday_continue_617_stock_win50_predicted_samples.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/000617XSHE/blankGPT2_multiday_continue_617_stock_win50_distribution_summary.json
000981_XSHE,blankGPT2_multiday_continue_981_stock_win50,47703,47703,5628,5984,3591,0.4476997880563521,0.35962098819777316,0.19671967028947418,0.2390077136758064,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/000981XSHE/blankGPT2_multiday_continue_981_stock_win50_true_counts.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/000981XSHE/blankGPT2_multiday_continue_981_stock_win50_predicted_counts.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/000981XSHE/blankGPT2_multiday_continue_981_stock_win50_true_samples.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/000981XSHE/blankGPT2_multiday_continue_981_stock_win50_predicted_samples.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/000981XSHE/blankGPT2_multiday_continue_981_stock_win50_distribution_summary.json
002263_XSHE,blankGPT2_multiday_continue_2263_stock_win50,247277,247277,13206,11239,10110,0.7052668294384374,0.20750413503881698,0.06895107840142992,0.02737378011713377,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/002263XSHE/blankGPT2_multiday_continue_2263_stock_win50_true_counts.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/002263XSHE/blankGPT2_multiday_continue_2263_stock_win50_predicted_counts.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/002263XSHE/blankGPT2_multiday_continue_2263_stock_win50_true_samples.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/002263XSHE/blankGPT2_multiday_continue_2263_stock_win50_predicted_samples.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/002263XSHE/blankGPT2_multiday_continue_2263_stock_win50_distribution_summary.json
002366_XSHE,blankGPT2_multiday_continue_2366_stock_win50,307919,307919,13433,11819,10548,0.7173558215451578,0.2238575729331165,0.07943631516898476,0.1670389636246713,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/002366XSHE/blankGPT2_multiday_continue_2366_stock_win50_true_counts.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/002366XSHE/blankGPT2_multiday_continue_2366_stock_win50_predicted_counts.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/002366XSHE/blankGPT2_multiday_continue_2366_stock_win50_true_samples.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/002366XSHE/blankGPT2_multiday_continue_2366_stock_win50_predicted_samples.csv,/finance_ML/zhanghaohan/stock_language_model/dist_analysis/blank_token_dist_run_parallel_20260404/002366XSHE/blankGPT2_multiday_continue_2366_stock_win50_distribution_summary.json
