token_id,count,probability
0,42,0.00014156810268406382
2,6,2.0224014669151973e-05
3,48,0.00016179211735321578
5,25,8.426672778813322e-05
6,30,0.00010112007334575987
8,28,9.43787351227092e-05
9,9,3.033602200372796e-05
11,7,2.35946837806773e-05
12,25,8.426672778813322e-05
14,3,1.0112007334575986e-05
15,13,4.381869844982928e-05
17,12,4.0448029338303945e-05
18,3,1.0112007334575986e-05
20,5,1.6853345557626644e-05
21,2,6.741338223050658e-06
23,1,3.370669111525329e-06
24,3,1.0112007334575986e-05
26,6,2.0224014669151973e-05
36,16,5.3930705784405265e-05
38,1,3.370669111525329e-06
39,23,7.752538956508256e-05
41,10,3.370669111525329e-05
42,21,7.078405134203191e-05
44,26,8.763739689965855e-05
45,12,4.0448029338303945e-05
47,1,3.370669111525329e-06
48,5,1.6853345557626644e-05
50,22,7.415472045355724e-05
51,3,1.0112007334575986e-05
53,2,6.741338223050658e-06
54,10,3.370669111525329e-05
56,2,6.741338223050658e-06
57,9,3.033602200372796e-05
59,2,6.741338223050658e-06
60,5,1.6853345557626644e-05
72,3,1.0112007334575986e-05
75,31,0.0001044907424572852
77,23,7.752538956508256e-05
78,25,8.426672778813322e-05
80,4,1.3482676446101316e-05
81,13,4.381869844982928e-05
83,3,1.0112007334575986e-05
84,7,2.35946837806773e-05
86,19,6.404271311898125e-05
87,14,4.71893675613546e-05
89,3,1.0112007334575986e-05
90,9,3.033602200372796e-05
92,6,2.0224014669151973e-05
93,3,1.0112007334575986e-05
95,2,6.741338223050658e-06
96,2,6.741338223050658e-06
99,1,3.370669111525329e-06
108,4,1.3482676446101316e-05
111,5,1.6853345557626644e-05
113,5,1.6853345557626644e-05
114,22,7.415472045355724e-05
116,16,5.3930705784405265e-05
117,5,1.6853345557626644e-05
119,4,1.3482676446101316e-05
120,7,2.35946837806773e-05
122,3,1.0112007334575986e-05
123,3,1.0112007334575986e-05
126,4,1.3482676446101316e-05
132,2,6.741338223050658e-06
135,1,3.370669111525329e-06
144,38,0.0001280854262379625
146,2,6.741338223050658e-06
147,49,0.00016516278646474113
149,24,8.089605867660789e-05
150,42,0.00014156810268406382
152,34,0.00011460274979186118
153,13,4.381869844982928e-05
155,9,3.033602200372796e-05
156,23,7.752538956508256e-05
158,40,0.00013482676446101315
159,11,3.707736022677862e-05
161,22,7.415472045355724e-05
162,18,6.067204400745592e-05
164,3,1.0112007334575986e-05
165,2,6.741338223050658e-06
167,2,6.741338223050658e-06
168,2,6.741338223050658e-06
171,1,3.370669111525329e-06
180,10,3.370669111525329e-05
183,10,3.370669111525329e-05
185,3,1.0112007334575986e-05
186,22,7.415472045355724e-05
188,3,1.0112007334575986e-05
189,2,6.741338223050658e-06
191,2,6.741338223050658e-06
192,3,1.0112007334575986e-05
195,6,2.0224014669151973e-05
197,2,6.741338223050658e-06
200,3,1.0112007334575986e-05
201,2,6.741338223050658e-06
204,2,6.741338223050658e-06
216,7,2.35946837806773e-05
219,7,2.35946837806773e-05
221,7,2.35946837806773e-05
222,2,6.741338223050658e-06
224,6,2.0224014669151973e-05
225,3,1.0112007334575986e-05
230,2,6.741338223050658e-06
231,5,1.6853345557626644e-05
235,1,3.370669111525329e-06
236,2,6.741338223050658e-06
237,1,3.370669111525329e-06
288,9,3.033602200372796e-05
291,4,1.3482676446101316e-05
293,1,3.370669111525329e-06
294,18,6.067204400745592e-05
296,11,3.707736022677862e-05
297,1,3.370669111525329e-06
300,1,3.370669111525329e-06
302,3,1.0112007334575986e-05
303,3,1.0112007334575986e-05
308,1,3.370669111525329e-06
317,1,3.370669111525329e-06
324,5,1.6853345557626644e-05
327,6,2.0224014669151973e-05
329,1,3.370669111525329e-06
330,3,1.0112007334575986e-05
332,4,1.3482676446101316e-05
342,1,3.370669111525329e-06
345,1,3.370669111525329e-06
348,2,6.741338223050658e-06
360,66,0.0002224641613606717
362,1,3.370669111525329e-06
363,62,0.0002089814849145704
365,32,0.00010786141156881053
366,37,0.00012471475712643717
368,33,0.00011123208068033585
369,23,7.752538956508256e-05
371,5,1.6853345557626644e-05
372,74,0.00024942951425287435
374,26,8.763739689965855e-05
375,12,4.0448029338303945e-05
377,8,2.6965352892202632e-05
378,31,0.0001044907424572852
380,10,3.370669111525329e-05
381,5,1.6853345557626644e-05
383,1,3.370669111525329e-06
384,1,3.370669111525329e-06
386,2,6.741338223050658e-06
387,3,1.0112007334575986e-05
396,4,1.3482676446101316e-05
399,21,7.078405134203191e-05
401,12,4.0448029338303945e-05
402,12,4.0448029338303945e-05
404,7,2.35946837806773e-05
405,4,1.3482676446101316e-05
408,3,1.0112007334575986e-05
410,6,2.0224014669151973e-05
411,5,1.6853345557626644e-05
413,1,3.370669111525329e-06
416,1,3.370669111525329e-06
432,11,3.707736022677862e-05
435,7,2.35946837806773e-05
437,12,4.0448029338303945e-05
438,20,6.741338223050658e-05
440,4,1.3482676446101316e-05
441,3,1.0112007334575986e-05
444,2,6.741338223050658e-06
446,3,1.0112007334575986e-05
447,1,3.370669111525329e-06
449,5,1.6853345557626644e-05
450,2,6.741338223050658e-06
468,10,3.370669111525329e-05
471,11,3.707736022677862e-05
473,7,2.35946837806773e-05
474,5,1.6853345557626644e-05
476,2,6.741338223050658e-06
480,2,6.741338223050658e-06
482,3,1.0112007334575986e-05
483,4,1.3482676446101316e-05
485,9,3.033602200372796e-05
486,3,1.0112007334575986e-05
488,8,2.6965352892202632e-05
492,2,6.741338223050658e-06
504,7,2.35946837806773e-05
507,6,2.0224014669151973e-05
