token_id,count,probability
0,73,0.00023707533474712507
3,62,0.00020135165416879113
5,41,0.0001331519003374264
6,78,0.00025331337137364046
8,23,7.46949684819709e-05
9,16,5.196171720484933e-05
11,6,1.9485643951818498e-05
12,32,0.00010392343440969866
14,8,2.5980858602424664e-05
15,12,3.8971287903636996e-05
17,17,5.520932453015241e-05
18,7,2.273325127712158e-05
20,2,6.495214650606166e-06
21,7,2.273325127712158e-05
23,2,6.495214650606166e-06
36,65,0.0002110944761447004
38,5,1.6238036626515415e-05
39,39,0.00012665668568682023
41,26,8.443779045788016e-05
42,64,0.00020784686881939731
44,27,8.768539778318324e-05
45,21,6.819975383136474e-05
47,6,1.9485643951818498e-05
48,28,9.093300510848633e-05
50,16,5.196171720484933e-05
51,7,2.273325127712158e-05
53,3,9.742821975909249e-06
54,8,2.5980858602424664e-05
59,6,1.9485643951818498e-05
60,1,3.247607325303083e-06
65,1,3.247607325303083e-06
72,43,0.00013964711498803256
75,52,0.00016887558091576032
77,43,0.00013964711498803256
78,34,0.00011041864906030482
80,29,9.41806124337894e-05
81,12,3.8971287903636996e-05
83,7,2.273325127712158e-05
84,42,0.00013639950766272947
86,11,3.5723680578333913e-05
87,5,1.6238036626515415e-05
89,1,3.247607325303083e-06
90,15,4.8714109879546246e-05
92,5,1.6238036626515415e-05
95,2,6.495214650606166e-06
96,1,3.247607325303083e-06
108,36,0.00011691386371091099
110,2,6.495214650606166e-06
111,23,7.46949684819709e-05
113,11,3.5723680578333913e-05
114,42,0.00013639950766272947
116,17,5.520932453015241e-05
117,10,3.247607325303083e-05
119,3,9.742821975909249e-06
120,16,5.196171720484933e-05
122,13,4.221889522894008e-05
123,4,1.2990429301212332e-05
125,11,3.5723680578333913e-05
126,1,3.247607325303083e-06
128,2,6.495214650606166e-06
129,2,6.495214650606166e-06
131,2,6.495214650606166e-06
132,2,6.495214650606166e-06
144,65,0.0002110944761447004
146,1,3.247607325303083e-06
147,73,0.00023707533474712507
149,38,0.00012340907836151714
150,100,0.0003247607325303083
152,60,0.00019485643951818498
153,36,0.00011691386371091099
155,5,1.6238036626515415e-05
156,29,9.41806124337894e-05
158,63,0.00020459926149409422
159,16,5.196171720484933e-05
161,13,4.221889522894008e-05
162,5,1.6238036626515415e-05
164,5,1.6238036626515415e-05
165,2,6.495214650606166e-06
167,3,9.742821975909249e-06
168,2,6.495214650606166e-06
180,24,7.794257580727399e-05
182,2,6.495214650606166e-06
183,14,4.546650255424316e-05
185,19,6.170453918075857e-05
186,28,9.093300510848633e-05
188,4,1.2990429301212332e-05
189,10,3.247607325303083e-05
191,3,9.742821975909249e-06
192,26,8.443779045788016e-05
194,7,2.273325127712158e-05
197,2,6.495214650606166e-06
198,1,3.247607325303083e-06
216,12,3.8971287903636996e-05
218,1,3.247607325303083e-06
219,12,3.8971287903636996e-05
221,7,2.273325127712158e-05
222,6,1.9485643951818498e-05
224,19,6.170453918075857e-05
225,8,2.5980858602424664e-05
228,17,5.520932453015241e-05
230,3,9.742821975909249e-06
231,6,1.9485643951818498e-05
233,2,6.495214650606166e-06
235,1,3.247607325303083e-06
236,1,3.247607325303083e-06
288,25,8.119018313257707e-05
290,2,6.495214650606166e-06
