token_id,count,probability
0,29,0.00011727738528047493
1,1,4.044047768292239e-06
2,8,3.2352382146337914e-05
3,17,6.874881206096807e-05
4,1,4.044047768292239e-06
5,13,5.257262098779911e-05
6,18,7.27928598292603e-05
7,2,8.088095536584479e-06
8,23,9.30130986707215e-05
9,5,2.0220238841461196e-05
11,6,2.4264286609753434e-05
12,12,4.852857321950687e-05
13,3,1.2132143304876717e-05
14,9,3.639642991463015e-05
15,4,1.6176191073168957e-05
16,2,8.088095536584479e-06
17,6,2.4264286609753434e-05
18,3,1.2132143304876717e-05
20,2,8.088095536584479e-06
21,3,1.2132143304876717e-05
22,1,4.044047768292239e-06
23,3,1.2132143304876717e-05
24,1,4.044047768292239e-06
25,1,4.044047768292239e-06
26,5,2.0220238841461196e-05
29,2,8.088095536584479e-06
32,3,1.2132143304876717e-05
35,5,2.0220238841461196e-05
36,6,2.4264286609753434e-05
37,1,4.044047768292239e-06
38,1,4.044047768292239e-06
39,15,6.066071652438359e-05
41,18,7.27928598292603e-05
42,19,7.683690759755254e-05
43,1,4.044047768292239e-06
44,16,6.470476429267583e-05
45,8,3.2352382146337914e-05
47,5,2.0220238841461196e-05
48,13,5.257262098779911e-05
49,2,8.088095536584479e-06
50,9,3.639642991463015e-05
51,2,8.088095536584479e-06
53,5,2.0220238841461196e-05
54,4,1.6176191073168957e-05
56,3,1.2132143304876717e-05
57,2,8.088095536584479e-06
58,2,8.088095536584479e-06
59,3,1.2132143304876717e-05
62,1,4.044047768292239e-06
63,1,4.044047768292239e-06
65,2,8.088095536584479e-06
68,2,8.088095536584479e-06
71,12,4.852857321950687e-05
72,8,3.2352382146337914e-05
74,1,4.044047768292239e-06
75,14,5.6616668756091345e-05
77,17,6.874881206096807e-05
78,15,6.066071652438359e-05
79,2,8.088095536584479e-06
80,15,6.066071652438359e-05
81,10,4.044047768292239e-05
83,7,2.8308334378045673e-05
84,7,2.8308334378045673e-05
85,1,4.044047768292239e-06
86,11,4.448452545121463e-05
87,1,4.044047768292239e-06
88,2,8.088095536584479e-06
89,6,2.4264286609753434e-05
90,1,4.044047768292239e-06
92,3,1.2132143304876717e-05
93,1,4.044047768292239e-06
94,1,4.044047768292239e-06
95,4,1.6176191073168957e-05
98,1,4.044047768292239e-06
99,1,4.044047768292239e-06
101,2,8.088095536584479e-06
104,2,8.088095536584479e-06
107,5,2.0220238841461196e-05
108,6,2.4264286609753434e-05
109,1,4.044047768292239e-06
111,12,4.852857321950687e-05
112,1,4.044047768292239e-06
113,9,3.639642991463015e-05
114,8,3.2352382146337914e-05
116,9,3.639642991463015e-05
117,2,8.088095536584479e-06
119,2,8.088095536584479e-06
120,3,1.2132143304876717e-05
122,11,4.448452545121463e-05
123,1,4.044047768292239e-06
126,1,4.044047768292239e-06
128,3,1.2132143304876717e-05
129,1,4.044047768292239e-06
131,2,8.088095536584479e-06
134,1,4.044047768292239e-06
135,1,4.044047768292239e-06
140,1,4.044047768292239e-06
143,2,8.088095536584479e-06
144,20,8.088095536584478e-05
147,20,8.088095536584478e-05
149,19,7.683690759755254e-05
150,17,6.874881206096807e-05
151,2,8.088095536584479e-06
152,28,0.00011323333751218269
153,6,2.4264286609753434e-05
155,5,2.0220238841461196e-05
156,7,2.8308334378045673e-05
158,20,8.088095536584478e-05
159,3,1.2132143304876717e-05
161,14,5.6616668756091345e-05
162,3,1.2132143304876717e-05
163,2,8.088095536584479e-06
164,7,2.8308334378045673e-05
165,2,8.088095536584479e-06
167,2,8.088095536584479e-06
170,2,8.088095536584479e-06
173,1,4.044047768292239e-06
176,2,8.088095536584479e-06
178,1,4.044047768292239e-06
179,15,6.066071652438359e-05
180,4,1.6176191073168957e-05
181,1,4.044047768292239e-06
183,7,2.8308334378045673e-05
185,8,3.2352382146337914e-05
186,7,2.8308334378045673e-05
188,7,2.8308334378045673e-05
189,1,4.044047768292239e-06
191,2,8.088095536584479e-06
192,1,4.044047768292239e-06
194,2,8.088095536584479e-06
196,1,4.044047768292239e-06
197,3,1.2132143304876717e-05
199,1,4.044047768292239e-06
209,1,4.044047768292239e-06
212,1,4.044047768292239e-06
216,2,8.088095536584479e-06
218,2,8.088095536584479e-06
219,7,2.8308334378045673e-05
221,5,2.0220238841461196e-05
222,2,8.088095536584479e-06
224,4,1.6176191073168957e-05
225,2,8.088095536584479e-06
228,2,8.088095536584479e-06
229,1,4.044047768292239e-06
230,2,8.088095536584479e-06
231,2,8.088095536584479e-06
233,2,8.088095536584479e-06
234,2,8.088095536584479e-06
239,3,1.2132143304876717e-05
248,2,8.088095536584479e-06
251,4,1.6176191073168957e-05
